Category,Name,Variant Name,Price,URL
b'',b'Gift Card',b'\xc2\xa3300.00',b'300.00',b'https://completedworks.com//products/holiday-gift-card'
b'',b'Gift Card',b'\xc2\xa3400.00',b'400.00',b'https://completedworks.com//products/holiday-gift-card'
b'',b'Gift Card',b'\xc2\xa3500.00',b'500.00',b'https://completedworks.com//products/holiday-gift-card'
b'',b'Gift Card',b'\xc2\xa3750.00',b'750.00',b'https://completedworks.com//products/holiday-gift-card'
b'',b'Gift Card',"b'\xc2\xa31,000.00'",b'1000.00',b'https://completedworks.com//products/holiday-gift-card'
b'',b'Gift Card',"b'\xc2\xa32,000.00'",b'2000.00',b'https://completedworks.com//products/holiday-gift-card'
b'',b'Gift Card',"b'\xc2\xa32,500.00'",b'2500.00',b'https://completedworks.com//products/holiday-gift-card'
b'',b'Gift Card',"b'\xc2\xa35,000.00'",b'5000.00',b'https://completedworks.com//products/holiday-gift-card'
b'Necklace',b'Befuddled - Gold Vermeil Necklace',b'',b'715.00',b'https://completedworks.com//products/befuddled-gold-vermeil-necklace'
b'Rings',b'The Best Place to be a Puffin - Platinum Plated Ring',b'Extra Small - Custom made',b'245.00',b'https://completedworks.com//products/the-best-place-to-be-a-puffin-ring-platinum-plated'
b'Rings',b'The Best Place to be a Puffin - Platinum Plated Ring',b'Small - In stock',b'245.00',b'https://completedworks.com//products/the-best-place-to-be-a-puffin-ring-platinum-plated'
b'Rings',b'The Best Place to be a Puffin - Platinum Plated Ring',b'Medium - Custom made',b'245.00',b'https://completedworks.com//products/the-best-place-to-be-a-puffin-ring-platinum-plated'
b'Rings',b'The Best Place to be a Puffin - Platinum Plated Ring',b'Large - In Stock',b'245.00',b'https://completedworks.com//products/the-best-place-to-be-a-puffin-ring-platinum-plated'
b'Rings',b'The Best Place to be a Puffin - Platinum Plated Ring',b'Extra Large - Custom made',b'245.00',b'https://completedworks.com//products/the-best-place-to-be-a-puffin-ring-platinum-plated'
b'Necklace',b'The Heart Is Not A Metaphor - Gold Vermeil Pendant',b'',b'255.00',b'https://completedworks.com//products/the-heart-is-not-a-metaphor-gold-vermeil-pendant'
b'Necklace',b'Classicworks\xe2\x84\xa2 T - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-t\xe2\x84\xa2-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 S - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-s-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 R  Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-r-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 Q  Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-q-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 P - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-p-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 N - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-n-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 O - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-o-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 M - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-m-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 L - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-l-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 K - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-k-recycled-sterling-silver-necklace'
b'Rings',b'Speaking to the Penguins - Gold Vermeil and Pearl Ring',b'Small - In stock',b'325.00',b'https://completedworks.com//products/speaking-to-the-penguins-gold-vermeil-and-pearl-ring'
b'Rings',b'Speaking to the Penguins - Gold Vermeil and Pearl Ring',b'Medium - In stock',b'325.00',b'https://completedworks.com//products/speaking-to-the-penguins-gold-vermeil-and-pearl-ring'
b'Rings',b'Speaking to the Penguins - Gold Vermeil and Pearl Ring',b'Large - In stock',b'325.00',b'https://completedworks.com//products/speaking-to-the-penguins-gold-vermeil-and-pearl-ring'
b'Necklace',b'Classicworks\xe2\x84\xa2 J - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks\xe2\x84\xa2-j-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 I - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-i-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 H - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-h-recycled-sterling-silver-necklace'
